county,indicator,Unit,Date,Value
Nyali,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,101.7448251
Nyali,Land Area (Sq. Km),sq. km,2019,22.5
Nyali,Population Density (No. per Sq. Km),No. per Sq. Km,2019,9610
Nyali,Population (Excludes the special population),Persons,2019,213342
Nyali,Number of Households,Number,2019,69948
Nyali,Average Household size,,2019,3
Kinango,"Population, Total",Persons,2019,94220
Kinango,"Population, Male",Persons,2019,45413
Kinango,"Population, Female",Persons,2019,48806
Kinango,"Population, Intersex",Persons,2019,1
Kinango,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.0479859
Kinango,Land Area (Sq. Km),sq. km,2019,1614
Kinango,Population Density (No. per Sq. Km),No. per Sq. Km,2019,58
Kinango,Population (Excludes the special population),Persons,2019,93789
Kinango,Number of Households,Number,2019,16043
Kinango,Average Household size,,2019,6
Lungalunga,"Population, Total",Persons,2019,198423
Lungalunga,"Population, Male",Persons,2019,97174
Lungalunga,"Population, Female",Persons,2019,101245
Lungalunga,"Population, Intersex",Persons,2019,4
Lungalunga,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,95.97906069
Lungalunga,Land Area (Sq. Km),sq. km,2019,2765.2
Lungalunga,Population Density (No. per Sq. Km),No. per Sq. Km,2019,72
Lungalunga,Population (Excludes the special population),Persons,2019,198195
Lungalunga,Number of Households,Number,2019,37366
Lungalunga,Average Household size,,2019,5
Matuga,"Population, Total",Persons,2019,194252
Matuga,"Population, Male",Persons,2019,95831
Matuga,"Population, Female",Persons,2019,98419
Matuga,"Population, Intersex",Persons,2019,2
Matuga,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.37042644
Matuga,Land Area (Sq. Km),sq. km,2019,1032.4
Matuga,Population Density (No. per Sq. Km),No. per Sq. Km,2019,188
Matuga,Population (Excludes the special population),Persons,2019,192999
Matuga,Number of Households,Number,2019,39231
Matuga,Average Household size,,2019,5
Msambweni,"Population, Total",Persons,2019,177690
Msambweni,"Population, Male",Persons,2019,89206
Msambweni,"Population, Female",Persons,2019,88480
Msambweni,"Population, Intersex",Persons,2019,4
Msambweni,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.8205244
Msambweni,Land Area (Sq. Km),sq. km,2019,411.7
Msambweni,Population Density (No. per Sq. Km),No. per Sq. Km,2019,432
Msambweni,Population (Excludes the special population),Persons,2019,173213
Msambweni,Number of Households,Number,2019,45466
Msambweni,Average Household size,,2019,4
Samburu-Kwale,"Population, Total",Persons,2019,202235
Samburu-Kwale,"Population, Male",Persons,2019,97497
Samburu-Kwale,"Population, Female",Persons,2019,104731
Samburu-Kwale,"Population, Intersex",Persons,2019,7
Samburu-Kwale,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.09278055
Samburu-Kwale,Land Area (Sq. Km),sq. km,2019,2443.7
Samburu-Kwale,Population Density (No. per Sq. Km),No. per Sq. Km,2019,83
Samburu-Kwale,Population (Excludes the special population),Persons,2019,200552
Samburu-Kwale,Number of Households,Number,2019,35070
Samburu-Kwale,Average Household size,,2019,6
Chonyi,"Population, Total",Persons,2019,62335
Chonyi,"Population, Male",Persons,2019,29527
Chonyi,"Population, Female",Persons,2019,32807
Chonyi,"Population, Intersex",Persons,2019,1
Chonyi,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.00213369
Chonyi,Land Area (Sq. Km),sq. km,2019,192.6
Chonyi,Population Density (No. per Sq. Km),No. per Sq. Km,2019,324
Chonyi,Population (Excludes the special population),Persons,2019,62318
Chonyi,Number of Households,Number,2019,11421
Chonyi,Average Household size,,2019,5
Ganze,"Population, Total",Persons,2019,143906
Ganze,"Population, Male",Persons,2019,66921
Ganze,"Population, Female",Persons,2019,76981
Ganze,"Population, Intersex",Persons,2019,4
Ganze,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,86.93184032
Ganze,Land Area (Sq. Km),sq. km,2019,3204.4
Ganze,Population Density (No. per Sq. Km),No. per Sq. Km,2019,45
Ganze,Population (Excludes the special population),Persons,2019,143590
Ganze,Number of Households,Number,2019,23258
Ganze,Average Household size,,2019,6
Kaloleni,"Population, Total",Persons,2019,193682
Kaloleni,"Population, Male",Persons,2019,92614
Kaloleni,"Population, Female",Persons,2019,101063
Kaloleni,"Population, Intersex",Persons,2019,5
