county,indicator,Unit,Date,Value
Mumias East,"Population, Male",Persons,2019,55895
Mumias East,"Population, Female",Persons,2019,60953
Mumias East,"Population, Intersex",Persons,2019,3
Mumias East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.70180303
Mumias East,Land Area (Sq. Km),sq. km,2019,150.2
Mumias East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,778
Mumias East,Population (Excludes the special population),Persons,2019,116712
Mumias East,Number of Households,Number,2019,26049
Mumias East,Average Household size,,2019,4
Mumias West,"Population, Total",Persons,2019,115354
Mumias West,"Population, Male",Persons,2019,54915
Mumias West,"Population, Female",Persons,2019,60438
Mumias West,"Population, Intersex",Persons,2019,1
Mumias West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.86170952
Mumias West,Land Area (Sq. Km),sq. km,2019,163.3
Mumias West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,706
Mumias West,Population (Excludes the special population),Persons,2019,114601
Mumias West,Number of Households,Number,2019,27671
Mumias West,Average Household size,,2019,4
Navakholo,"Population, Total",Persons,2019,153977
Navakholo,"Population, Male",Persons,2019,73275
Navakholo,"Population, Female",Persons,2019,80695
Navakholo,"Population, Intersex",Persons,2019,7
Navakholo,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.80488258
Navakholo,Land Area (Sq. Km),sq. km,2019,259.3
Navakholo,Population Density (No. per Sq. Km),No. per Sq. Km,2019,594
Navakholo,Population (Excludes the special population),Persons,2019,153918
Navakholo,Number of Households,Number,2019,32315
Navakholo,Average Household size,,2019,5
Vihiga (reg),"Population, Total",Persons,2019,590013
Vihiga (reg),"Population, Male",Persons,2019,283678
Vihiga (reg),"Population, Female",Persons,2019,306323
Vihiga (reg),"Population, Intersex",Persons,2019,12
Vihiga (reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,92.60747642
Vihiga (reg),Land Area (Sq. Km),sq. km,2019,563.8
Vihiga (reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,1047
Vihiga (reg),Population (Excludes the special population),Persons,2019,587189
Vihiga (reg),Number of Households,Number,2019,143365
Vihiga (reg),Average Household size,,2019,4
Emuhaya,"Population, Total",Persons,2019,97141
Emuhaya,"Population, Male",Persons,2019,46507
Emuhaya,"Population, Female",Persons,2019,50633
Emuhaya,"Population, Intersex",Persons,2019,1
Emuhaya,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.85116426
Emuhaya,Land Area (Sq. Km),sq. km,2019,89
Emuhaya,Population Density (No. per Sq. Km),No. per Sq. Km,2019,1091
Emuhaya,Population (Excludes the special population),Persons,2019,97035
Emuhaya,Number of Households,Number,2019,23804
Emuhaya,Average Household size,,2019,4
Vihiga (sub reg),"Population, Total",Persons,2019,95292
Vihiga (sub reg),"Population, Male",Persons,2019,45788
Vihiga (sub reg),"Population, Female",Persons,2019,49501
Vihiga (sub reg),"Population, Intersex",Persons,2019,3
Vihiga (sub reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,92.49914143
Vihiga (sub reg),Land Area (Sq. Km),sq. km,2019,90.1
Vihiga (sub reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,1058
Vihiga (sub reg),Population (Excludes the special population),Persons,2019,94509
Vihiga (sub reg),Number of Households,Number,2019,23375
Vihiga (sub reg),Average Household size,,2019,4
Sabatia,"Population, Total",Persons,2019,131628
Sabatia,"Population, Male",Persons,2019,62944
Sabatia,"Population, Female",Persons,2019,68683
Sabatia,"Population, Intersex",Persons,2019,1
Sabatia,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.64422055
Sabatia,Land Area (Sq. Km),sq. km,2019,111.4
Sabatia,Population Density (No. per Sq. Km),No. per Sq. Km,2019,1181
Sabatia,Population (Excludes the special population),Persons,2019,130851
Sabatia,Number of Households,Number,2019,31422
Sabatia,Average Household size,,2019,4
Luanda,"Population, Total",Persons,2019,106694
Luanda,"Population, Male",Persons,2019,51525
Luanda,"Population, Female",Persons,2019,55165
Luanda,"Population, Intersex",Persons,2019,4
Luanda,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.40161334
Luanda,Land Area (Sq. Km),sq. km,2019,84.3
Luanda,Population Density (No. per Sq. Km),No. per Sq. Km,2019,1265
Luanda,Population (Excludes the special population),Persons,2019,105707
Luanda,Number of Households,Number,2019,26766
Luanda,Average Household size,,2019,4
Hamisi,"Population, Total",Persons,2019,159241
Hamisi,"Population, Male",Persons,2019,76901
Hamisi,"Population, Female",Persons,2019,82337
Hamisi,"Population, Intersex",Persons,2019,3
Hamisi,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.39786487
Hamisi,Land Area (Sq. Km),sq. km,2019,157.2
Hamisi,Population Density (No. per Sq. Km),No. per Sq. Km,2019,1013
Hamisi,Population (Excludes the special population),Persons,2019,159070
Hamisi,Number of Households,Number,2019,37986
Hamisi,Average Household size,,2019,4
Kakamega Forest,"Population, Total",Persons,2019,17
Kakamega Forest,"Population, Male",Persons,2019,13
Kakamega Forest,"Population, Female",Persons,2019,4
Kakamega Forest,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,325
Kakamega Forest,Land Area (Sq. Km),sq. km,2019,31.7
Kakamega Forest,Population Density (No. per Sq. Km),No. per Sq. Km,2019,1
Kakamega Forest,Population (Excludes the special population),Persons,2019,17
Kakamega Forest,Number of Households,Number,2019,12
Kakamega Forest,Average Household size,,2019,1
Bungoma,"Population, Total",Persons,2019,1670570
Bungoma,"Population, Male",Persons,2019,812146
Bungoma,"Population, Female",Persons,2019,858389
Bungoma,"Population, Intersex",Persons,2019,35
Bungoma,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.6128154
Bungoma,Land Area (Sq. Km),sq. km,2019,3023.9
Bungoma,Population Density (No. per Sq. Km),No. per Sq. Km,2019,552
Bungoma,Population (Excludes the special population),Persons,2019,1663898
Bungoma,Number of Households,Number,2019,358796
Bungoma,Average Household size,,2019,5
Bumula,"Population, Total",Persons,2019,215892
Bumula,"Population, Male",Persons,2019,103368
Bumula,"Population, Female",Persons,2019,112523
Bumula,"Population, Intersex",Persons,2019,1
Bumula,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.86388561
Bumula,Land Area (Sq. Km),sq. km,2019,345.2
Bumula,Population Density (No. per Sq. Km),No. per Sq. Km,2019,625
Bumula,Population (Excludes the special population),Persons,2019,215546
Bumula,Number of Households,Number,2019,44954
Bumula,Average Household size,,2019,5
Bungoma Central,"Population, Total",Persons,2019,177748
Bungoma Central,"Population, Male",Persons,2019,86302
Bungoma Central,"Population, Female",Persons,2019,91438
Bungoma Central,"Population, Intersex",Persons,2019,8
Bungoma Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.38307924
Bungoma Central,Land Area (Sq. Km),sq. km,2019,232.7
Bungoma Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,764
Bungoma Central,Population (Excludes the special population),Persons,2019,177175
Bungoma Central,Number of Households,Number,2019,37803
Bungoma Central,Average Household size,,2019,5
Bungoma East,"Population, Total",Persons,2019,114548
Bungoma East,"Population, Male",Persons,2019,55775
Bungoma East,"Population, Female",Persons,2019,58771
Bungoma East,"Population, Intersex",Persons,2019,2
Bungoma East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.90224771
Bungoma East,Land Area (Sq. Km),sq. km,2019,163.3
Bungoma East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,702
Bungoma East,Population (Excludes the special population),Persons,2019,114242
Bungoma East,Number of Households,Number,2019,24873
Bungoma East,Average Household size,,2019,5
Bungoma North,"Population, Total",Persons,2019,121317
Bungoma North,"Population, Male",Persons,2019,58790
Bungoma North,"Population, Female",Persons,2019,62526
Bungoma North,"Population, Intersex",Persons,2019,1
Bungoma North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.02488565
Bungoma North,Land Area (Sq. Km),sq. km,2019,191.5
Bungoma North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,633
Bungoma North,Population (Excludes the special population),Persons,2019,120871
Bungoma North,Number of Households,Number,2019,24998
Bungoma North,Average Household size,,2019,5
Bungoma South,"Population, Total",Persons,2019,287765
Bungoma South,"Population, Male",Persons,2019,139705
Bungoma South,"Population, Female",Persons,2019,148055
Bungoma South,"Population, Intersex",Persons,2019,5
Bungoma South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.36020398
Bungoma South,Land Area (Sq. Km),sq. km,2019,321.2
Bungoma South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,896
Bungoma South,Population (Excludes the special population),Persons,2019,284662
Bungoma South,Number of Households,Number,2019,69151
Bungoma South,Average Household size,,2019,4
Cheptais,"Population, Total",Persons,2019,136035
Cheptais,"Population, Male",Persons,2019,67717
Cheptais,"Population, Female",Persons,2019,68312
Cheptais,"Population, Intersex",Persons,2019,6
Cheptais,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.12899637
Cheptais,Land Area (Sq. Km),sq. km,2019,222.9
Cheptais,Population Density (No. per Sq. Km),No. per Sq. Km,2019,610
Cheptais,Population (Excludes the special population),Persons,2019,135864
Cheptais,Number of Households,Number,2019,26326
Cheptais,Average Household size,,2019,5
Kimilili-Bungoma,"Population, Total",Persons,2019,162038
Kimilili-Bungoma,"Population, Male",Persons,2019,78560
Kimilili-Bungoma,"Population, Female",Persons,2019,83475
Kimilili-Bungoma,"Population, Intersex",Persons,2019,3
Kimilili-Bungoma,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.11200958
Kimilili-Bungoma,Land Area (Sq. Km),sq. km,2019,179.6
Kimilili-Bungoma,Population Density (No. per Sq. Km),No. per Sq. Km,2019,902
Kimilili-Bungoma,Population (Excludes the special population),Persons,2019,161628
Kimilili-Bungoma,Number of Households,Number,2019,35263
Kimilili-Bungoma,Average Household size,,2019,5
Mt Elgon,"Population, Total",Persons,2019,78873
Mt Elgon,"Population, Male",Persons,2019,38977
Mt Elgon,"Population, Female",Persons,2019,39893
Mt Elgon,"Population, Intersex",Persons,2019,3
Mt Elgon,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.70385782
Mt Elgon,Land Area (Sq. Km),sq. km,2019,126.5
Mt Elgon,Population Density (No. per Sq. Km),No. per Sq. Km,2019,624
Mt Elgon,Population (Excludes the special population),Persons,2019,78782
Mt Elgon,Number of Households,Number,2019,15276
Mt Elgon,Average Household size,,2019,5
Bungoma West,"Population, Total",Persons,2019,119875
Bungoma West,"Population, Male",Persons,2019,58225
Bungoma West,"Population, Female",Persons,2019,61649
Bungoma West,"Population, Intersex",Persons,2019,1
Bungoma West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.44597641
Bungoma West,Land Area (Sq. Km),sq. km,2019,211
Bungoma West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,568
Bungoma West,Population (Excludes the special population),Persons,2019,119585
Bungoma West,Number of Households,Number,2019,25172
Bungoma West,Average Household size,,2019,5
Tongaren,"Population, Total",Persons,2019,100343
Tongaren,"Population, Male",Persons,2019,48685
Tongaren,"Population, Female",Persons,2019,51657
Tongaren,"Population, Intersex",Persons,2019,1
Tongaren,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.24666551
Tongaren,Land Area (Sq. Km),sq. km,2019,185.3
Tongaren,Population Density (No. per Sq. Km),No. per Sq. Km,2019,542
Tongaren,Population (Excludes the special population),Persons,2019,100268
Tongaren,Number of Households,Number,2019,21343
Tongaren,Average Household size,,2019,5
Webuye West,"Population, Total",Persons,2019,152515
Webuye West,"Population, Male",Persons,2019,74180
Webuye West,"Population, Female",Persons,2019,78331
Webuye West,"Population, Intersex",Persons,2019,4
Webuye West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.70069321
Webuye West,Land Area (Sq. Km),sq. km,2019,238.9
Webuye West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,638
Webuye West,Population (Excludes the special population),Persons,2019,151654
Webuye West,Number of Households,Number,2019,32839
Webuye West,Average Household size,,2019,5
Mt Elgon Forest,"Population, Total",Persons,2019,3621
Mt Elgon Forest,"Population, Male",Persons,2019,1862
Mt Elgon Forest,"Population, Female",Persons,2019,1759
Mt Elgon Forest,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,105.8555998
Mt Elgon Forest,Land Area (Sq. Km),sq. km,2019,605.8
Mt Elgon Forest,Population Density (No. per Sq. Km),No. per Sq. Km,2019,6
Mt Elgon Forest,Population (Excludes the special population),Persons,2019,3621
Mt Elgon Forest,Number of Households,Number,2019,798
Mt Elgon Forest,Average Household size,,2019,5
Busia (reg),"Population, Total",Persons,2019,893681
Busia (reg),"Population, Male",Persons,2019,426252
Busia (reg),"Population, Female",Persons,2019,467401
Busia (reg),"Population, Intersex",Persons,2019,28
Busia (reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.19621053
Busia (reg),Land Area (Sq. Km),sq. km,2019,1696.3
Busia (reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,527
Busia (reg),Population (Excludes the special population),Persons,2019,886856
Busia (reg),Number of Households,Number,2019,198152
Busia (reg),Average Household size,,2019,4
Bunyala,"Population, Total",Persons,2019,85977
Bunyala,"Population, Male",Persons,2019,41465
Bunyala,"Population, Female",Persons,2019,44511
Bunyala,"Population, Intersex",Persons,2019,1
Bunyala,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.15674777
Bunyala,Land Area (Sq. Km),sq. km,2019,192.2
Bunyala,Population Density (No. per Sq. Km),No. per Sq. Km,2019,447
Bunyala,Population (Excludes the special population),Persons,2019,85645
Bunyala,Number of Households,Number,2019,19039
Bunyala,Average Household size,,2019,4
Busia (sub reg),"Population, Total",Persons,2019,142408
Busia (sub reg),"Population, Male",Persons,2019,69034
Busia (sub reg),"Population, Female",Persons,2019,73373
Busia (sub reg),"Population, Intersex",Persons,2019,1
Busia (sub reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.08638055
Busia (sub reg),Land Area (Sq. Km),sq. km,2019,196
Busia (sub reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,727
Busia (sub reg),Population (Excludes the special population),Persons,2019,138274
Busia (sub reg),Number of Households,Number,2019,33160
Busia (sub reg),Average Household size,,2019,4
Butula,"Population, Total",Persons,2019,140334
Butula,"Population, Male",Persons,2019,65136
Butula,"Population, Female",Persons,2019,75195
Butula,"Population, Intersex",Persons,2019,3
Butula,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,86.62278077
Butula,Land Area (Sq. Km),sq. km,2019,243.6
Butula,Population Density (No. per Sq. Km),No. per Sq. Km,2019,576
Butula,Population (Excludes the special population),Persons,2019,140051
Butula,Number of Households,Number,2019,32213
Butula,Average Household size,,2019,4
Nambale,"Population, Total",Persons,2019,111636
Nambale,"Population, Male",Persons,2019,52900
Nambale,"Population, Female",Persons,2019,58732
Nambale,"Population, Intersex",Persons,2019,4
Nambale,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.07014915
Nambale,Land Area (Sq. Km),sq. km,2019,238.1
Nambale,Population Density (No. per Sq. Km),No. per Sq. Km,2019,469
Nambale,Population (Excludes the special population),Persons,2019,111543
Nambale,Number of Households,Number,2019,23892
Nambale,Average Household size,,2019,5
Samia,"Population, Total",Persons,2019,107176
Samia,"Population, Male",Persons,2019,50821
Samia,"Population, Female",Persons,2019,56341
Samia,"Population, Intersex",Persons,2019,14
Samia,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.20251682
Samia,Land Area (Sq. Km),sq. km,2019,262.4
Samia,Population Density (No. per Sq. Km),No. per Sq. Km,2019,408
Samia,Population (Excludes the special population),Persons,2019,107004
Samia,Number of Households,Number,2019,23884
Samia,Average Household size,,2019,4
Teso North,"Population, Total",Persons,2019,138034
Teso North,"Population, Male",Persons,2019,66412
Teso North,"Population, Female",Persons,2019,71619
Teso North,"Population, Intersex",Persons,2019,3
Teso North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,92.72958293
Teso North,Land Area (Sq. Km),sq. km,2019,261
Teso North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,529
Teso North,Population (Excludes the special population),Persons,2019,136804
Teso North,Number of Households,Number,2019,29395
Teso North,Average Household size,,2019,5
Teso South,"Population, Total",Persons,2019,168116
Teso South,"Population, Male",Persons,2019,80484
Teso South,"Population, Female",Persons,2019,87630
Teso South,"Population, Intersex",Persons,2019,2
Teso South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.84525847
Teso South,Land Area (Sq. Km),sq. km,2019,302.9
Teso South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,555
Teso South,Population (Excludes the special population),Persons,2019,167535
Teso South,Number of Households,Number,2019,36569
Teso South,Average Household size,,2019,5
Siaya (reg),"Population, Total",Persons,2019,993183
Siaya (reg),"Population, Male",Persons,2019,471669
Siaya (reg),"Population, Female",Persons,2019,521496
Siaya (reg),"Population, Intersex",Persons,2019,18
Siaya (reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.44537254
Siaya (reg),Land Area (Sq. Km),sq. km,2019,2529.8
Siaya (reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,393
Siaya (reg),Population (Excludes the special population),Persons,2019,989708
Siaya (reg),Number of Households,Number,2019,250698
Siaya (reg),Average Household size,,2019,4
Siaya (subreg),"Population, Total",Persons,2019,224343
Siaya (subreg),"Population, Male",Persons,2019,105906
Siaya (subreg),"Population, Female",Persons,2019,118433
Siaya (subreg),"Population, Intersex",Persons,2019,4
Siaya (subreg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,89.42271158
Siaya (subreg),Land Area (Sq. Km),sq. km,2019,598.9
Siaya (subreg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,375
Siaya (subreg),Population (Excludes the special population),Persons,2019,223182
Siaya (subreg),Number of Households,Number,2019,57553
Siaya (subreg),Average Household size,,2019,4
Gem,"Population, Total",Persons,2019,179792
Gem,"Population, Male",Persons,2019,85696
Gem,"Population, Female",Persons,2019,94092
Gem,"Population, Intersex",Persons,2019,4
Gem,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.07681843
Gem,Land Area (Sq. Km),sq. km,2019,405.3
Gem,Population Density (No. per Sq. Km),No. per Sq. Km,2019,444
Gem,Population (Excludes the special population),Persons,2019,179570
Gem,Number of Households,Number,2019,44884
Gem,Average Household size,,2019,4
Ugenya,"Population, Total",Persons,2019,134354
Ugenya,"Population, Male",Persons,2019,62624
Ugenya,"Population, Female",Persons,2019,71726
Ugenya,"Population, Intersex",Persons,2019,4
Ugenya,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,87.31004099
Ugenya,Land Area (Sq. Km),sq. km,2019,323.5
Ugenya,Population Density (No. per Sq. Km),No. per Sq. Km,2019,415
Ugenya,Population (Excludes the special population),Persons,2019,134166
Ugenya,Number of Households,Number,2019,33565
Ugenya,Average Household size,,2019,4
Ugunja,"Population, Total",Persons,2019,104241
Ugunja,"Population, Male",Persons,2019,48912
Ugunja,"Population, Female",Persons,2019,55329
Ugunja,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,88.40210378
Ugunja,Land Area (Sq. Km),sq. km,2019,201
Ugunja,Population Density (No. per Sq. Km),No. per Sq. Km,2019,519
Ugunja,Population (Excludes the special population),Persons,2019,103892
Ugunja,Number of Households,Number,2019,26328
Ugunja,Average Household size,,2019,4
Bondo,"Population, Total",Persons,2019,197883
Bondo,"Population, Male",Persons,2019,95962
Bondo,"Population, Female",Persons,2019,101917
Bondo,"Population, Intersex",Persons,2019,4
Bondo,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.15701012
Bondo,Land Area (Sq. Km),sq. km,2019,598.8
Bondo,Population Density (No. per Sq. Km),No. per Sq. Km,2019,330
Bondo,Population (Excludes the special population),Persons,2019,196835
Bondo,Number of Households,Number,2019,51362
Bondo,Average Household size,,2019,4
Rarieda,"Population, Total",Persons,2019,152570
Rarieda,"Population, Male",Persons,2019,72569
Rarieda,"Population, Female",Persons,2019,79999
Rarieda,"Population, Intersex",Persons,2019,2
Rarieda,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.7123839
Rarieda,Land Area (Sq. Km),sq. km,2019,402.4
Rarieda,Population Density (No. per Sq. Km),No. per Sq. Km,2019,379
Rarieda,Population (Excludes the special population),Persons,2019,152063
Rarieda,Number of Households,Number,2019,37006
Rarieda,Average Household size,,2019,4
Kisumu,"Population, Total",Persons,2019,1155574
Kisumu,"Population, Male",Persons,2019,560942
Kisumu,"Population, Female",Persons,2019,594609
Kisumu,"Population, Intersex",Persons,2019,23
Kisumu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.3379599
Kisumu,Land Area (Sq. Km),sq. km,2019,2085.4
Kisumu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,554
Kisumu,Population (Excludes the special population),Persons,2019,1144777
Kisumu,Number of Households,Number,2019,300745
Kisumu,Average Household size,,2019,4
Kisumu East,"Population, Total",Persons,2019,220997
Kisumu East,"Population, Male",Persons,2019,108304
Kisumu East,"Population, Female",Persons,2019,112689
Kisumu East,"Population, Intersex",Persons,2019,4
Kisumu East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.10875951
Kisumu East,Land Area (Sq. Km),sq. km,2019,141.6
Kisumu East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,1560
Kisumu East,Population (Excludes the special population),Persons,2019,219996
Kisumu East,Number of Households,Number,2019,61871
Kisumu East,Average Household size,,2019,4
Kisumu Central,"Population, Total",Persons,2019,174145
Kisumu Central,"Population, Male",Persons,2019,84155
Kisumu Central,"Population, Female",Persons,2019,89985
Kisumu Central,"Population, Intersex",Persons,2019,5
Kisumu Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.52114241
Kisumu Central,Land Area (Sq. Km),sq. km,2019,36.8
Kisumu Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,4737
Kisumu Central,Population (Excludes the special population),Persons,2019,170592
Kisumu Central,Number of Households,Number,2019,52331
Kisumu Central,Average Household size,,2019,3
Kisumu West,"Population, Total",Persons,2019,172821
Kisumu West,"Population, Male",Persons,2019,85697
Kisumu West,"Population, Female",Persons,2019,87121
Kisumu West,"Population, Intersex",Persons,2019,3
Kisumu West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.36549167
Kisumu West,Land Area (Sq. Km),sq. km,2019,209
Kisumu West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,827
Kisumu West,Population (Excludes the special population),Persons,2019,169806
Kisumu West,Number of Households,Number,2019,45933
Kisumu West,Average Household size,,2019,4
Seme,"Population, Total",Persons,2019,121667
Seme,"Population, Male",Persons,2019,57658
Seme,"Population, Female",Persons,2019,64007
Seme,"Population, Intersex",Persons,2019,2
Seme,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.08077242
Seme,Land Area (Sq. Km),sq. km,2019,267.7
Seme,Population Density (No. per Sq. Km),No. per Sq. Km,2019,455
Seme,Population (Excludes the special population),Persons,2019,121461
Seme,Number of Households,Number,2019,29404
Seme,Average Household size,,2019,4
Muhoroni,"Population, Total",Persons,2019,154116
Muhoroni,"Population, Male",Persons,2019,76770
Muhoroni,"Population, Female",Persons,2019,77345
Muhoroni,"Population, Intersex",Persons,2019,1
Muhoroni,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.25657767
Muhoroni,Land Area (Sq. Km),sq. km,2019,657.5
Muhoroni,Population Density (No. per Sq. Km),No. per Sq. Km,2019,234
Muhoroni,Population (Excludes the special population),Persons,2019,151799
Muhoroni,Number of Households,Number,2019,37193
Muhoroni,Average Household size,,2019,4
Nyando,"Population, Total",Persons,2019,161508
Nyando,"Population, Male",Persons,2019,77121
Nyando,"Population, Female",Persons,2019,84380
Nyando,"Population, Intersex",Persons,2019,7
Nyando,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.39725053
Nyando,Land Area (Sq. Km),sq. km,2019,446.1
Nyando,Population Density (No. per Sq. Km),No. per Sq. Km,2019,362
Nyando,Population (Excludes the special population),Persons,2019,160804
Nyando,Number of Households,Number,2019,38460
Nyando,Average Household size,,2019,4
Nyakach,"Population, Total",Persons,2019,150320
Nyakach,"Population, Male",Persons,2019,71237
Nyakach,"Population, Female",Persons,2019,79082
Nyakach,"Population, Intersex",Persons,2019,1
Nyakach,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.07991705
Nyakach,Land Area (Sq. Km),sq. km,2019,326.7
Nyakach,Population Density (No. per Sq. Km),No. per Sq. Km,2019,460
Nyakach,Population (Excludes the special population),Persons,2019,150319
Nyakach,Number of Households,Number,2019,35553
Nyakach,Average Household size,,2019,4
Homa Bay (reg),"Population, Total",Persons,2019,1131950
Homa Bay (reg),"Population, Male",Persons,2019,539560
Homa Bay (reg),"Population, Female",Persons,2019,592367
Homa Bay (reg),"Population, Intersex",Persons,2019,23
Homa Bay (reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.08542508
Homa Bay (reg),Land Area (Sq. Km),sq. km,2019,3152.5
Homa Bay (reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,359
Homa Bay (reg),Population (Excludes the special population),Persons,2019,1125823
Homa Bay (reg),Number of Households,Number,2019,262036
Homa Bay (reg),Average Household size,,2019,4
Homa Bay (sub reg),"Population, Total",Persons,2019,117439
Homa Bay (sub reg),"Population, Male",Persons,2019,55756
Homa Bay (sub reg),"Population, Female",Persons,2019,61681
Homa Bay (sub reg),"Population, Intersex",Persons,2019,2
Homa Bay (sub reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.39412461
Homa Bay (sub reg),Land Area (Sq. Km),sq. km,2019,182
Homa Bay (sub reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,645
Homa Bay (sub reg),Population (Excludes the special population),Persons,2019,116034
Homa Bay (sub reg),Number of Households,Number,2019,29318
Homa Bay (sub reg),Average Household size,,2019,4
Ndhiwa,"Population, Total",Persons,2019,218136
Ndhiwa,"Population, Male",Persons,2019,103706
Ndhiwa,"Population, Female",Persons,2019,114422
Ndhiwa,"Population, Intersex",Persons,2019,8
Ndhiwa,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.63466816
Ndhiwa,Land Area (Sq. Km),sq. km,2019,713.5
Ndhiwa,Population Density (No. per Sq. Km),No. per Sq. Km,2019,306
Ndhiwa,Population (Excludes the special population),Persons,2019,217549
Ndhiwa,Number of Households,Number,2019,48062
Ndhiwa,Average Household size,,2019,5
Rachuonyo North,"Population, Total",Persons,2019,178686
Rachuonyo North,"Population, Male",Persons,2019,85409
Rachuonyo North,"Population, Female",Persons,2019,93273
Rachuonyo North,"Population, Intersex",Persons,2019,4
Rachuonyo North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.56883557
Rachuonyo North,Land Area (Sq. Km),sq. km,2019,435.4
Rachuonyo North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,410
Rachuonyo North,Population (Excludes the special population),Persons,2019,178036
Rachuonyo North,Number of Households,Number,2019,41809
Rachuonyo North,Average Household size,,2019,4
Rachuonyo East,"Population, Total",Persons,2019,121822
