,county,num_households,total_inhabitants,avg_household_size,avg_household_per_dwelling,pct_own_dwelling,avg_rooms_occupied,percent_grid_connect,percent_any_elect,percent_bank_account,percent_mobile_money,total_percent_batteries,total_percent_solar,total_percent_generator,grid_generator_pct,grid_battery_pct,grid_solar_pct,avg_electricity_use_grid,avg_typical_hours_elect_grid,avg_worst_hours_elect_grid,not_grid_generator_pct,not_grid_battery_pct,not_grid_solar_pct,avg_distance_to_connect
35,NYERI,268067.7012786865,966621.1566390991,3.605884453920794,2.8665036668924913,0.712433952414505,2.9049950335648056,0.5069282340900413,0.7740804713693258,0.7515039270896063,0.871606478534071,0.13147600293147513,0.3813853539073104,0.0,0.0,0.0,0.26335565830495755,96.82115430647487,8.004118216440602,7.1256210844546795,0.0,0.2666467886045707,0.5027319596117871,1.055940625
36,SAMBURU,62935.755489349365,211894.2716884613,3.3668344813040374,1.1928105198884469,0.7350690035541749,2.88611698077537,0.1707276979839699,0.9892884440548373,0.20049831425902404,0.6761810651484195,0.5149865419626376,0.880545590046034,0.049937103658587,0.0,0.0,0.3683277435477617,88.37358533952744,0.0,10.601769035271897,0.06021798091795148,0.6210101805048381,0.9859992191933705,18.146906666666666
37,SIAYA,264444.0791015625,1090163.6712646484,4.122473359843915,1.0416770459914217,0.9477870267770644,2.341357541986379,0.1510394906898163,0.4828252516998024,0.29454265453696077,0.8106134996781666,0.05941336723050464,0.34846472610324186,0.0,0.0,0.0,0.11042784252701614,52.85121527865645,9.177366996335827,9.011367944255387,0.0,0.06998366423283989,0.3908141278321368,31.798305084745763
38,TAITA TAVETA,94479.65766906738,374135.0781173706,3.9599537863256073,1.50443869760857,0.7986450492641957,2.991747070403834,0.23265612400196117,0.4766196982463559,0.46529700845923244,0.8596780508684279,0.042569373329267676,0.2521693568701298,0.0014611538590644927,0.0,0.0,0.08998348142773605,53.031042874674384,0.0,8.70419203485438,0.0019041708740609369,0.055476266457330115,0.3013435776185712,24.652380952380955
39,TANA RIVER,63014.03575134277,247949.15474700928,3.9348242306750794,1.1477337887519032,0.8715607097555041,1.8252651273572156,0.15775239391840648,0.37732373395533303,0.35685002997758053,0.5034471184088021,0.0,0.21957134003692652,0.0,0.0,0.0,0.0,69.41820514987454,0.0,5.6992797977854766,0.0,0.0,0.26069690011758295,337.74594594594595
40,THARAKA-NITHI,83048.71196556091,327530.15092277527,3.943831796676115,1.5607754490011558,0.9917255830225739,2.5317453708494964,0.1809197597353157,0.47869745613642045,0.6900748023138001,0.8604105701737849,0.0,0.32383262042878486,0.0,0.0,0.0,0.1440137001386595,42.266327197865685,4.734429185350394,4.313201836469637,0.0,0.0,0.3635513125122863,6.354916666666667
41,TRANS NZOIA,210515.33129882812,778752.6422119141,3.6992680647399916,1.3857934104429608,0.5712937959442456,2.5972587408639796,0.1448346078569561,0.3180624436130591,0.297188277037289,0.7799157037902097,0.07426747980193976,0.2062775715225805,0.0,0.0,0.0,0.22818949321227605,36.98103653594799,5.0655652271055045,5.446348036579914,0.0,0.08684574993829615,0.20256647117348156,281.47763157894735
42,TURKANA,163723.05634999275,617612.1336562634,3.772297851171227,2.008669156662995,0.8093546240041306,2.2810048763354542,0.0076794294681132545,0.24929555548249224,0.10086935227558352,0.38854761762907747,0.04605228360893493,0.24301263373057985,0.0005385580082734353,0.06399571583866157,0.0,0.18798468615723543,57.555985125383046,0.0,16.783693812612476,4.747197995075903e-05,0.04640867576115123,0.2434384872850799,461.63739304347826
43,UASIN GISHU,332479.9290456772,1351156.5717430115,4.063874097968137,2.0228189685081785,0.6928438477935963,2.4396049776339153,0.5161609299570963,0.7321423282525805,0.34509183870351434,0.8714772002006723,0.021149814041583653,0.2879415897109804,0.008019885396955945,0.0,0.019523067150713638,0.16086642002883547,47.5880329527054,4.350240690292097,4.788944897526022,0.016575522510500842,0.02288523236553551,0.4235057510586275,41.20661764705883
44,VIHIGA,163832.56491088867,473293.4382171631,2.888884993496839,1.0809377463731844,0.96178505841254,3.5477540234953175,0.25675289546664454,0.4657155010224619,0.16151613884818852,0.5720693920705837,0.0,0.2440414981101284,0.0,0.0,0.0,0.13662510987677728,50.99899698843936,8.923966776973312,10.251655646205023,0.0,0.0,0.2811482268565495,1.0433333333333334
45,WAJIR,117716.326212883,765912.3084173203,6.506423816117174,1.345176143295232,0.9198841148275193,1.4735037673181564,0.4487058781538582,0.46300205711567854,0.2435249054597944,0.6272021759900879,0.0006848181188181402,0.0308562487339909,0.006063381439002496,0.013513042137868771,0.0015262071485128187,0.03690629113285707,71.27415954011957,0.0,8.844368432485247,0.0,0.0,0.025932035904801778,327.10726530612243
46,WEST POKOT,110146.12777709961,701039.2247114182,6.364628869478702,1.7339204057104023,0.878822485131242,2.9000741163162527,0.1723983618546797,0.3977643387154219,0.36052356550745246,0.6465452154557745,0.01023539715434678,0.25334756878209536,0.0011671282466014167,0.0,0.0,0.16364797696138858,37.1131467704539,0.0,8.991437130409626,0.001410253668923355,0.012367540955192654,0.2720329627882971,83.53837476635515
